Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Team,Season
1.0,Lauri Markkanen,26.0,PF,55,55,33.1,7.8,16.2,0.48,3.2,8.0,0.399,4.6,8.2,0.559,0.578,4.5,5.0,0.899,2.2,5.9,8.2,2.0,0.9,0.5,1.4,1.8,23.2,,UTA,2024
2.0,Jordan Clarkson,31.0,SG,55,19,30.6,6.1,14.8,0.413,1.7,5.6,0.294,4.5,9.2,0.485,0.469,3.2,3.7,0.881,0.9,2.5,3.4,5.0,0.6,0.1,2.7,1.5,17.1,,UTA,2024
3.0,John Collins,26.0,PF,68,66,28.0,5.8,11.0,0.532,1.3,3.4,0.371,4.6,7.6,0.605,0.59,2.2,2.7,0.795,2.3,6.1,8.5,1.1,0.6,0.9,1.4,2.8,15.1,,UTA,2024
4.0,Keyonte George,20.0,PG,75,44,27.0,4.3,10.9,0.391,2.0,5.9,0.334,2.3,5.0,0.459,0.482,2.5,3.0,0.848,0.2,2.6,2.8,4.4,0.5,0.1,2.5,1.2,13.0,,UTA,2024
5.0,Collin Sexton,25.0,SG,78,51,26.6,6.5,13.3,0.487,1.6,4.2,0.394,4.8,9.1,0.53,0.549,4.1,4.7,0.859,0.9,1.7,2.6,4.9,0.8,0.2,2.1,2.0,18.7,,UTA,2024
6.0,Darius Bazley,23.0,PF,6,0,23.7,3.0,4.8,0.621,0.3,1.3,0.25,2.7,3.5,0.762,0.655,1.7,2.0,0.833,1.3,3.2,4.5,0.8,1.0,1.2,1.2,0.5,8.0,,UTA,2024
7.0,Walker Kessler,22.0,C,64,22,23.3,3.6,5.5,0.654,0.1,0.3,0.211,3.5,5.2,0.68,0.66,0.9,1.5,0.602,2.6,4.9,7.5,0.9,0.5,2.4,1.0,2.1,8.1,,UTA,2024
8.0,Simone Fontecchio,28.0,SF,50,34,23.2,3.2,7.2,0.45,1.8,4.7,0.391,1.4,2.5,0.56,0.577,0.6,0.8,0.8,1.0,2.5,3.5,1.5,0.6,0.4,1.0,1.6,8.9,,UTA,2024
9.0,Kenneth Lofton Jr.,21.0,PF,4,0,22.8,5.3,8.8,0.6,1.0,3.0,0.333,4.3,5.8,0.739,0.657,2.3,2.8,0.818,2.5,2.5,5.0,4.8,0.8,0.5,1.5,2.3,13.8,,UTA,2024
10.0,Taylor Hendricks,20.0,PF,40,23,21.4,2.7,6.0,0.45,1.3,3.5,0.379,1.4,2.5,0.55,0.56,0.6,0.7,0.793,1.2,3.5,4.6,0.8,0.7,0.8,0.7,1.9,7.3,,UTA,2024
11.0,Kelly Olynyk,32.0,C,50,8,20.4,2.9,5.2,0.562,0.7,1.7,0.429,2.2,3.5,0.626,0.632,1.6,1.9,0.842,1.3,3.8,5.1,4.4,0.7,0.2,1.6,2.6,8.1,,UTA,2024
12.0,Talen Horton-Tucker,23.0,PG,51,11,19.8,3.6,9.1,0.396,1.2,3.6,0.33,2.4,5.5,0.438,0.46,1.7,2.1,0.807,0.4,2.0,2.4,3.5,0.9,0.4,1.3,1.8,10.1,,UTA,2024
13.0,Ochai Agbaji,23.0,SG,51,10,19.7,2.1,4.9,0.426,0.9,2.8,0.331,1.2,2.1,0.551,0.52,0.3,0.4,0.75,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4,,UTA,2024
14.0,Kris Dunn,29.0,PG,66,32,18.9,2.2,4.7,0.47,0.6,1.7,0.369,1.6,3.1,0.525,0.535,0.3,0.5,0.688,0.8,2.1,2.9,3.8,1.0,0.4,1.2,2.0,5.4,,UTA,2024
15.0,Johnny Juzang,22.0,SG,20,5,18.6,2.6,5.5,0.464,1.6,3.9,0.416,1.0,1.7,0.576,0.609,0.5,0.7,0.714,0.4,1.5,1.8,1.2,0.2,0.1,0.7,1.5,7.2,,UTA,2024
16.0,Brice Sensabaugh,20.0,SF,32,11,18.3,2.7,6.8,0.39,1.1,3.6,0.296,1.6,3.2,0.495,0.468,1.2,1.3,0.902,0.5,2.7,3.2,1.7,0.4,0.2,1.5,1.3,7.5,,UTA,2024
17.0,Micah Potter,25.0,PF,16,0,11.6,1.2,2.5,0.475,0.6,1.3,0.429,0.6,1.2,0.526,0.588,0.4,0.5,0.75,0.6,2.1,2.7,0.4,0.3,0.4,0.3,0.9,3.3,,UTA,2024
18.0,Omer Yurtseven,25.0,C,48,12,11.4,2.1,3.8,0.538,0.1,0.5,0.208,2.0,3.3,0.588,0.552,0.4,0.6,0.679,1.5,2.8,4.3,0.6,0.2,0.4,0.8,1.1,4.6,,UTA,2024
19.0,Jason Preston,24.0,PG,7,0,10.1,0.9,2.7,0.316,0.0,0.4,0.0,0.9,2.3,0.375,0.316,0.0,0.0,,0.9,1.6,2.4,2.3,0.3,0.1,0.3,0.4,1.7,,UTA,2024
20.0,Kira Lewis Jr.,22.0,PG,12,0,9.9,1.5,3.3,0.45,0.2,1.1,0.154,1.3,2.3,0.593,0.475,0.6,0.8,0.778,0.4,0.6,1.0,1.6,0.3,0.1,0.5,0.3,3.8,,UTA,2024
21.0,Luka Å amaniÄ,24.0,PF,43,7,9.4,1.4,3.7,0.38,0.3,1.5,0.203,1.1,2.2,0.5,0.421,1.0,1.3,0.786,0.5,1.9,2.4,0.4,0.1,0.2,0.7,0.7,4.1,,UTA,2024
